아파트,건축년도,층,전용면적,거래금액,주소,Latitude,Longitude,근처역(m),인구수,외국인수,크기(km^2),외국인 비율,근처 초등학교
류진시티,2015,9,6.930275,6400,문화동 81-1,36.8095107,127.1502285,324.2439463,8191,494,0.61,0.060310096,478.097224
류진시티,2015,9,6.930275,6500,문화동 81-1,36.8095107,127.1502285,324.2439463,8191,494,0.61,0.060310096,478.097224
류진시티,2015,9,6.930275,6400,문화동 81-1,36.8095107,127.1502285,324.2439463,8191,494,0.61,0.060310096,478.097224
천안역필하우스에듀시티(1단지),2022,20,25.70829525,35000,문화동 180,36.8095295,127.1516818,451.0910199,8191,494,0.61,0.060310096,459.585229
천안역필하우스에듀시티(1단지),2022,12,25.70829525,35000,문화동 180,36.8095295,127.1516818,451.0910199,8191,494,0.61,0.060310096,459.585229
천안역필하우스에듀시티(1단지),2022,11,25.68100975,33250,문화동 180,36.8095295,127.1516818,451.0910199,8191,494,0.61,0.060310096,459.585229
힐스테이트천안,2021,38,22.6281495,40400,문화동 179,36.8074068,127.1503693,448.2261289,8191,494,0.61,0.060310096,276.2725317
힐스테이트천안,2021,37,25.63224675,44000,문화동 179,36.8074068,127.1503693,448.2261289,8191,494,0.61,0.060310096,276.2725317
힐스테이트천안,2021,38,25.63224675,42500,문화동 179,36.8074068,127.1503693,448.2261289,8191,494,0.61,0.060310096,276.2725317
거송그랑데리움,2016,16,7.68764425,9200,문화동 63-9,36.8087761,127.1504845,371.830453,8191,494,0.61,0.060310096,417.0950958
거송그랑데리움,2016,4,8.9504305,8000,문화동 63-9,36.8087761,127.1504845,371.830453,8191,494,0.61,0.060310096,417.0950958
우성5,1991,2,53.966,20000,원성동 555-1,36.8014426,127.1546925,1202.449901,8835,463,7.31,0.052405207,388.4260286
우성(주택),1990,1,25.51285,14000,원성동 598-1,36.8006088,127.1544125,1264.485834,8835,463,7.31,0.052405207,477.4466692
향목그라비스,2005,11,25.70248725,18000,구성동 300-6,36.7926917,127.1620761,2376.276138,56991,785,17.15,0.013774105,321.0819427
구성휴먼시아,2010,6,15.684625,17200,구성동 525,36.7967263,127.1559709,1706.238735,56991,785,17.15,0.013774105,461.1534649
구성휴먼시아,2010,8,25.509825,24700,구성동 525,36.7967263,127.1559709,1706.238735,56991,785,17.15,0.013774105,461.1534649
구성휴먼시아,2010,15,18.086475,17200,구성동 525,36.7967263,127.1559709,1706.238735,56991,785,17.15,0.013774105,461.1534649
구성휴먼시아,2010,7,25.509825,24000,구성동 525,36.7967263,127.1559709,1706.238735,56991,785,17.15,0.013774105,461.1534649
신성천안미소지움,2006,13,18.0256725,18000,구성동 259,36.7928013,127.163806,2458.802366,56991,785,17.15,0.013774105,370.2114267
신성천안미소지움,2006,2,25.55762,20800,구성동 259,36.7928013,127.163806,2458.802366,56991,785,17.15,0.013774105,370.2114267
신성천안미소지움,2006,2,18.103415,16200,구성동 259,36.7928013,127.163806,2458.802366,56991,785,17.15,0.013774105,370.2114267
신성천안미소지움,2006,10,18.103415,18000,구성동 259,36.7928013,127.163806,2458.802366,56991,785,17.15,0.013774105,370.2114267
