"","지번주소","lon","lat","아파트"
"1","충청남도 천안시 와촌동 173",127.144504,36.807438,"신동아파밀리에"
"2","충청남도 천안시 성정동 823",127.133597,36.822074,"선경"
"3","충청남도 천안시 성정동 892",127.132594,36.821036,"건일(892)"
"4","충청남도 천안시 성정동 785",127.13403,36.825454,"주공6-1"
"5","충청남도 천안시 성정동 1292",127.137996,36.828372,"에프엠21"
"6","충청남도 천안시 성정동 1322",127.140927,36.828802,"프라지움3차"
"7","충청남도 천안시 성정동 413-13",127.135923,36.823865,"현대1"
"8","충청남도 천안시 성정동 413-13",127.135923,36.823865,"현대2"
"9","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화1"
"10","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화2"
"11","충청남도 천안시 성정동 643",127.141782,36.823128,"대우목화3"
"12","충청남도 천안시 성정동 1475",127.140752,36.827227,"리슈빌디에스"
"13","충청남도 천안시 성정동 696-4",127.140521,36.81717,"성정활림2목련"
"14","충청남도 천안시 성정동 1345",127.141745,36.828722,"프라지움7차"
"15","충청남도 천안시 성정동 717",127.138611,36.81497,"주공5-1"
"16","충청남도 천안시 성정동 717",127.138611,36.81497,"주공5-2"
"17","충청남도 천안시 성정동 1474",127.140775,36.827437,"해피드림2차"
"18","충청남도 천안시 성정동 1270",127.138195,36.829939,"프라지움6차"
"19","충청남도 천안시 성정동 1513",127.138261,36.827654,"서올하우스"
"20","충청남도 천안시 성정동 789",127.134357,36.822905,"주공6-3"
"21","충청남도 천안시 성정동 1323",127.141707,36.829722,"프라지움8차"
"22","충청남도 천안시 성정동 1523",127.137953,36.82783,"학산리젠다빌-2차-A동"
"23","충청남도 천안시 성정동 1347",127.141647,36.828365,"평화로운나날"
"24","충청남도 천안시 백석동 1193",127.124917,36.829771,"백석더샵아파트"
"25","충청남도 천안시 백석동 900",127.120554,36.81945,"호반리젠시빌"
"26","충청남도 천안시 백석동 1007",127.122357,36.832562,"백석리슈빌"
"27","충청남도 천안시 백석동 941",127.124882,36.832632,"백석마을아이파크"
"28","충청남도 천안시 백석동 924",127.114373,36.826068,"백석벽산블루밍2차"
"29","충청남도 천안시 백석동 930",127.115691,36.829005,"브라운스톤"
"30","충청남도 천안시 백석동 1200",127.125801,36.827719,"천안백석3차IPARK"
"31","충청남도 천안시 백석동 890",127.12204,36.822064,"그린빌2"
"32","충청남도 천안시 백석동 1178",127.121391,36.825255,"백석2차아이파크"
"33","충청남도 천안시 백석동 979",127.121689,36.829853,"천안백석푸르지오"
"34","충청남도 천안시 백석동 191-3",127.125725,36.82159,"현대"
"35","충청남도 천안시 백석동 915",127.119479,36.822084,"그린빌1차"
"36","충청남도 천안시 백석동 919",127.114059,36.824929,"백석벽산블루밍1차"
"37","충청남도 천안시 두정동 526-1",127.131998,36.829483,"극동늘푸른"
"38","충청남도 천안시 두정동 1078",127.137054,36.838305,"계룡리슈빌"
"39","충청남도 천안시 두정동 1864",127.132779,36.838111,"우성"
"40","충청남도 천안시 두정동 1320",127.14105,36.833242,"프라지움2"
"41","충청남도 천안시 두정동 1886",127.133354,36.837633,"한성필하우스-1"
"42","충청남도 천안시 두정동 1593",127.142903,36.838234,"두정3푸르지오"
"43","충청남도 천안시 두정동 525-1",127.144597,36.834493,"대우그린"
"44","충청남도 천안시 두정동 527",127.143111,36.836204,"주공그린(8단지)"
"45","충청남도 천안시 두정동 2045",127.151012,36.82982,"두정역이안더센트럴"
"46","충청남도 천안시 두정동 1359",127.138585,36.830522,"벨라지오"
"47","충청남도 천안시 두정동 2055",127.129585,36.837844,"이편한세상-천안두정2차"
"48","충청남도 천안시 두정동 2035",127.147123,36.834308,"한성필하우스3차"
"49","충청남도 천안시 두정동 1373",127.139969,36.831022,"에프엠22"
"50","충청남도 천안시 두정동 1315",127.139247,36.832685,"에프엠20"
"51","충청남도 천안시 두정동 2037",127.15048,36.833834,"두정역푸르지오"
"52","충청남도 천안시 두정동 665",127.130137,36.828133,"서해그랑블"
"53","충청남도 천안시 두정동 1221",127.140939,36.834855,"이편한세상"
