중학,주소,Latitude,Longitude
천안불무중학교,충청남도 천안시 서북구 불당23로 30,36.8179617,127.1043857
천안동성중학교,충청남도 천안시 서북구 성환읍 성환1로 138,36.9058877,127.1293866
광풍중학교,충청남도 천안시 동남구 풍세면 광풍로 1021-11,36.7152092,127.1159655
천안서여자중학교,충청남도 천안시 동남구 천안여상로 44,36.8036317,127.1344429
천성중학교,충청남도 천안시 동남구 벌말1길 7,36.8124387,127.1743183
복자여자중학교,충청남도 천안시 동남구 복자1길 1,36.8153273,127.1512323
계광중학교,충청남도 천안시 동남구 봉명로 53,36.8083608,127.1344732
천남중학교,충청남도 천안시 동남구 성남면 신사대화로 403,36.7309652,127.2602427
목천중학교,충청남도 천안시 동남구 목천읍 삼방로 145,36.7820295,127.2326959
입장중학교,충청남도 천안시 서북구 입장면 연곡길 36,36.920548,127.2186564
병천중학교,충청남도 천안시 동남구 병천면 충절로 1872,36.763771,127.3129795
성환중학교,충청남도 천안시 서북구 성환읍 성환2로 79,36.9143586,127.1309318
환서중학교,충청남도 천안시 서북구 한들3로 50,36.8284339,127.1242101
천안가온중학교,충청남도 천안시 동남구 청수6로 83,36.7875569,127.1556869
천안새샘중학교,충청남도 천안시 동남구 통정6로 49,36.7760303,127.1377559
천안월봉중학교,충청남도 천안시 서북구 광장로 245,36.8010555,127.1106764
천안용곡중학교,충청남도 천안시 동남구 새말1길 51-14,36.7894286,127.1332474
천안불당중학교,충청남도 천안시 서북구 불당11로 35,36.8046067,127.1104968
천안신방중학교,충청남도 천안시 동남구 신촌4로 46,36.7901988,127.1263067
천안백석중학교,충청남도 천안시 서북구 백석1길 56,36.8191055,127.1218002
천안성성중학교,충청남도 천안시 서북구 부성1길 83,36.8374199,127.1351232
천안오성중학교,충청남도 천안시 서북구 두정고1길 25,36.8359394,127.1290333
천안두정중학교,충청남도 천안시 서북구 두정중1길 26,36.836252,127.1394989
천안쌍용중학교,충청남도 천안시 서북구 쌍용12길 13,36.803624,127.1204899
천안부성중학교,충청남도 천안시 서북구 공대길 45-9,36.8516273,127.1503029
천안봉서중학교,충청남도 천안시 서북구 미라1길 48,36.8063693,127.1296646
천안성정중학교,충청남도 천안시 서북구 성정중2길 40,36.829681,127.1362155
천안동중학교,충청남도 천안시 동남구 충절로 363-11,36.7890823,127.1666333
천안여자중학교,충청남도 천안시 동남구 원거리11길 31,36.8020923,127.1573753
천안북중학교,충청남도 천안시 동남구 중앙로 188,36.8148363,127.1540553
천안중학교,충청남도 천안시 동남구 충절로 90,36.8108354,127.1572162
