,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,구성아이파크,102㎡,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,102.21,80.23,78,3,2,30,계단식,,,,,,,,19750.0,216769,214138,"2억 1,000",,,,천안구성초등학교,공립,284.0,239.0
1,구성아이파크,108A㎡,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,108.12,84.96,79,3,2,98,계단식,,,,,,,,20500.0,229547,226761,"2억 800~2억 2,000","1억 6,000",,,천안구성초등학교,공립,284.0,239.0
2,구성아이파크,108B㎡,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,108.12,84.96,79,3,2,30,계단식,,,,,,,,20500.0,229547,226761,"2억 800~2억 2,000",,,,천안구성초등학교,공립,284.0,239.0
3,구성아이파크,108C㎡,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,108.12,84.96,79,3,2,12,계단식,,,,,,,,20500.0,229547,226761,,,,,천안구성초등학교,공립,284.0,239.0
4,구성아이파크,108D㎡,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,108.12,84.96,79,3,2,8,계단식,,,,,,,,20500.0,229547,226761,"2억 2,000",,,,천안구성초등학교,공립,284.0,239.0
5,구성아이파크,179,충청남도 천안시 동남구 구성동 388-72,충청남도 천안시 동남구 청수로 136-8,36.793284,127.159493,184.0,0.0,15.0,9.0,301,28,191.0,현대산업개발(주),HT001,179.34,140.04,78,4,2,6,계단식,,,,,,,,25500.0,378378,373786,"3억 3,000",,,,천안구성초등학교,공립,284.0,239.0
0,구성향목(향목그라비스),78㎡,충청남도 천안시 동남구 구성동 300-6,충청남도 천안시 동남구 충절로 303,36.792814,127.161929,216.0,0.0,15.0,15.0,249,21,219.0,(주)향목종합건설,HT001,78.28,59.94,77,3,2,30,계단식,24300.0,97200.0,4860.0,68040.0,0.0,0.0,0.0,19750.0,141330,141925,"1억 6,000",,,,천안삼거리초등학교,공립,284.0,279.0
1,구성향목(향목그라비스),109,충청남도 천안시 동남구 구성동 300-6,충청남도 천안시 동남구 충절로 303,36.792814,127.161929,216.0,0.0,15.0,15.0,249,21,219.0,(주)향목종합건설,HT001,109.64,84.96,77,3,2,186,계단식,30300.0,120780.0,6060.0,84420.0,0.0,0.0,0.0,20500.0,200337,201180,"1억 9,000~2억 2,000","1억 3,000~1억 5,000",,,천안삼거리초등학교,공립,284.0,279.0
0,동원,103,충청남도 천안시 동남구 구성동 442-6,충청남도 천안시 동남구 구성14길 16,36.796863,127.162255,19.0,0.0,5.0,5.0,0,0,0.0,,HT001,103.87,84.15,81,3,2,19,계단식,12330.0,49320.0,2466.0,34524.0,0.0,0.0,0.0,19750.0,,,"1억 5,000",,,,천안구성초등학교,공립,284.0,239.0
0,신성천안미소지움,81A㎡,충청남도 천안시 동남구 구성동 259,충청남도 천안시 동남구 천안대로 483-8,36.793033,127.163473,1029.0,0.0,15.0,15.0,248,21,1035.0,신성건설(주),HT001,81.64,59.84,73,3,2,223,계단식,27675.0,110700.0,5535.0,77490.0,0.0,0.0,0.0,19750.0,133943,137167,"1억 7,800~1억 9,000",,,,천안삼거리초등학교,공립,284.0,279.0
1,신성천안미소지움,81B㎡,충청남도 천안시 동남구 구성동 259,충청남도 천안시 동남구 천안대로 483-8,36.793033,127.163473,1029.0,0.0,15.0,15.0,248,21,1035.0,신성건설(주),HT001,81.68,59.58,73,3,2,132,계단식,27675.0,110700.0,5535.0,77490.0,0.0,0.0,0.0,20500.0,133368,136578,"1억 7,500~1억 9,500","1억 5,000",,,천안삼거리초등학교,공립,284.0,279.0
2,신성천안미소지움,107B㎡,충청남도 천안시 동남구 구성동 259,충청남도 천안시 동남구 천안대로 483-8,36.793033,127.163473,1029.0,0.0,15.0,15.0,248,21,1035.0,신성건설(주),HT001,107.48,84.49,79,3,2,332,계단식,41100.0,148860.0,8220.0,99540.0,0.0,0.0,0.0,20500.0,189120,193672,"2억 2,500~2억 6,500",,,,천안삼거리초등학교,공립,284.0,279.0
3,신성천안미소지움,107A㎡,충청남도 천안시 동남구 구성동 259,충청남도 천안시 동남구 천안대로 483-8,36.793033,127.163473,1029.0,0.0,15.0,15.0,248,21,1035.0,신성건설(주),HT001,107.45,84.48,79,3,2,282,계단식,41100.0,148860.0,8220.0,99540.0,0.0,0.0,0.0,20500.0,189096,193647,"2억 1,500~2억 5,000","1억 7,000",,,천안삼거리초등학교,공립,284.0,279.0
4,신성천안미소지움,143,충청남도 천안시 동남구 구성동 259,충청남도 천안시 동남구 천안대로 483-8,36.793033,127.163473,1029.0,0.0,15.0,15.0,248,21,1035.0,신성건설(주),HT001,143.09,115.48,81,4,2,60,계단식,55050.0,185130.0,11010.0,119070.0,0.0,0.0,0.0,20500.0,258469,264690,"3억 5,000",,,,천안삼거리초등학교,공립,284.0,279.0
0,쌍용,87㎡,충청남도 천안시 동남구 구성동 293-21,충청남도 천안시 동남구 충절로 295-14,36.793795,127.161627,216.0,0.0,12.0,8.0,198,20,0.0,남광토건주식회사,HT001,87.1,69.59,80,2,1,104,계단식,18113.0,72451.0,3623.0,50715.0,0.0,0.0,0.0,19750.0,170580,167929,"1억 1,800~1억 3,500",,,,천안구성초등학교,공립,284.0,239.0
1,쌍용,106,충청남도 천안시 동남구 구성동 293-21,충청남도 천안시 동남구 충절로 295-14,36.793795,127.161627,216.0,0.0,12.0,8.0,198,20,0.0,남광토건주식회사,HT001,106.34,84.96,80,3,1,112,계단식,20858.0,83431.0,4172.0,58401.0,0.0,0.0,0.0,20500.0,208255,205018,"1억 4,000~1억 4,500",,,,천안구성초등학교,공립,284.0,239.0
0,영웅플러스빌(도시형),79A㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,79.49,56.72,71,2,1,3,복도식,60000.0,156000.0,12000.0,84000.0,0.0,0.0,0.0,19750.0,,,,,,,천안구성초등학교,공립,284.0,239.0
1,영웅플러스빌(도시형),79B㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,79.49,56.72,71,2,1,1,복도식,60000.0,156000.0,12000.0,84000.0,0.0,0.0,0.0,20500.0,,,,,,,천안구성초등학교,공립,284.0,239.0
2,영웅플러스빌(도시형),87A㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,87.92,62.83,71,2,1,5,복도식,69900.0,177120.0,13980.0,93240.0,0.0,0.0,0.0,20500.0,,,,,,,천안구성초등학교,공립,284.0,239.0
3,영웅플러스빌(도시형),88B㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,88.68,63.26,71,2,1,5,복도식,69900.0,177120.0,13980.0,93240.0,0.0,0.0,0.0,20500.0,,,,,,,천안구성초등학교,공립,284.0,239.0
4,영웅플러스빌(도시형),89C㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,89.81,64.13,71,2,1,5,복도식,71700.0,180960.0,14340.0,94920.0,0.0,0.0,0.0,20500.0,,,"1억 6,500",,,,천안구성초등학교,공립,284.0,239.0
5,영웅플러스빌(도시형),93㎡,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,93.61,66.97,72,2,1,5,복도식,77100.0,192480.0,15420.0,99960.0,0.0,0.0,0.0,25500.0,,,,,,,천안구성초등학교,공립,284.0,239.0
6,영웅플러스빌(도시형),94,충청남도 천안시 동남구 구성동 470-1,충청남도 천안시 동남구 구성7길 29,36.796428,127.158657,29.0,0.0,6.0,5.0,154,36,29.0,주식회사다우종합건설,HT001,94.61,67.83,72,2,1,5,복도식,78000.0,194400.0,15600.0,100800.0,0.0,0.0,0.0,,,,,,,,천안구성초등학교,공립,284.0,239.0
0,휴먼시아,71㎡,충청남도 천안시 동남구 구성동 525,충청남도 천안시 동남구 대흥로 35,36.797233,127.155942,473.0,0.0,23.0,15.0,205,15,483.0,이수건설(주),HT001,71.06,51.85,73,2,1,34,계단식,24075.0,96300.0,4815.0,67410.0,0.0,0.0,0.0,20500.0,141114,136371,"1억 7,200~1억 7,300",,"2,000/60","2,000/60",천안구성초등학교,공립,284.0,239.0
1,휴먼시아,83㎡,충청남도 천안시 동남구 구성동 525,충청남도 천안시 동남구 대흥로 35,36.797233,127.155942,473.0,0.0,23.0,15.0,205,15,483.0,이수건설(주),HT001,83.12,59.79,72,3,1,103,계단식,29475.0,117900.0,5895.0,82530.0,0.0,0.0,0.0,20500.0,162723,157254,,,,,천안구성초등학교,공립,284.0,239.0
2,휴먼시아,113A㎡,충청남도 천안시 동남구 구성동 525,충청남도 천안시 동남구 대흥로 35,36.797233,127.155942,473.0,0.0,23.0,15.0,205,15,483.0,이수건설(주),HT001,113.97,84.78,74,3,2,214,복합식,46500.0,162900.0,9300.0,107100.0,0.0,0.0,0.0,19750.0,230735,222980,"2억 7,000~3억 2,000","1억 7,000",,,천안구성초등학교,공립,284.0,239.0
