,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상두정2차,98A㎡,충청남도 천안시 서북구 두정동 2055,충청남도 천안시 서북구 노태산로 145,36.838227,127.129683,848.0,0.0,23.0,18.0,231,29,1028.0,대림산업(주),HT001,98.62,72.69,74,3,2,198,계단식,80700.0,251820.0,16140.0,154980.0,0.0,0.0,0.0,30000.0,190228,193498,3억~4억,,,,천안부성초등학교,공립,332.0,335.0
1,e편한세상두정2차,110B㎡,충청남도 천안시 서북구 두정동 2055,충청남도 천안시 서북구 노태산로 145,36.838227,127.129683,848.0,0.0,23.0,18.0,231,29,1028.0,대림산업(주),HT001,110.77,84.65,76,3,2,151,계단식,90600.0,277560.0,18120.0,168840.0,0.0,0.0,0.0,33500.0,221540,225347,"3억 2,000~4억 3,000",,"3,000/110","3,000/110",천안부성초등학교,공립,332.0,335.0
2,e편한세상두정2차,111A㎡,충청남도 천안시 서북구 두정동 2055,충청남도 천안시 서북구 노태산로 145,36.838227,127.129683,848.0,0.0,23.0,18.0,231,29,1028.0,대림산업(주),HT001,111.71,84.88,76,3,2,321,계단식,94200.0,286920.0,18840.0,173880.0,0.0,0.0,0.0,33500.0,222125,225943,"3억 2,000~4억 4,000","2억 6,000","3,000/110","3,000/110",천안부성초등학교,공립,332.0,335.0
3,e편한세상두정2차,112C,충청남도 천안시 서북구 두정동 2055,충청남도 천안시 서북구 노태산로 145,36.838227,127.129683,848.0,0.0,23.0,18.0,231,29,1028.0,대림산업(주),HT001,112.26,84.76,76,3,2,178,계단식,96000.0,291600.0,19200.0,176400.0,0.0,0.0,0.0,33500.0,221828,225640,"3억 5,000~4억 5,000",,,,천안부성초등학교,공립,332.0,335.0
0,e편한세상두정3차,84㎡,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,84.98,59.99,71,3,2,154,계단식,80250.0,250650.0,16050.0,154350.0,0.0,0.0,0.0,30000.0,140079,133070,"2억 8,000~3억 4,000",,,,천안두정초등학교,공립,427.0,460.0
1,e편한세상두정3차,99㎡,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,99.69,75.04,75,3,2,48,계단식,103200.0,310320.0,20640.0,186480.0,0.0,0.0,0.0,33500.0,175227,166459,"4억 5,000",,,,천안두정초등학교,공립,427.0,460.0
2,e편한세상두정3차,101㎡,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,101.16,75.79,75,3,2,166,계단식,103200.0,310320.0,20640.0,186480.0,0.0,0.0,0.0,33500.0,176978,168121,"3억 2,000~4억 4,000","2억 4,000~2억 7,000","2,000/110","2,000/110",천안두정초등학교,공립,427.0,460.0
3,e편한세상두정3차,109㎡,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,109.98,82.87,75,3,2,26,계단식,111750.0,332550.0,22350.0,198450.0,0.0,0.0,0.0,33500.0,193512,183829,"4억 5,000~4억 8,000",,,,천안두정초등학교,공립,427.0,460.0
4,e편한세상두정3차,110B㎡,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,110.97,84.98,77,3,2,302,계단식,111750.0,332550.0,22350.0,198450.0,0.0,0.0,0.0,,198439,188509,"3억 8,500~4억 8,000",,,,천안두정초등학교,공립,427.0,460.0
5,e편한세상두정3차,111A,충청남도 천안시 서북구 두정동 2063,충청남도 천안시 서북구 북일로 21,36.832074,127.155228,992.0,0.0,27.0,15.0,223,16,1221.0,"(주)대림산업,(주)삼호",HT001,111.76,84.99,76,3,2,296,계단식,111750.0,332550.0,22350.0,198450.0,0.0,0.0,0.0,,198456,188525,"3억 7,000~4억 8,000",,,,천안두정초등학교,공립,427.0,460.0
0,e편한세상두정4차,87A㎡,충청남도 천안시 서북구 두정동 401-1,충청남도 천안시 서북구 두정공원2길 50,36.83726,127.15686,456.0,0.0,23.0,14.0,239,21,553.0,"고려개발(주),대림산업(주)",HT001,87.41,62.66,72,3,2,150,계단식,62250.0,203850.0,12450.0,129150.0,0.0,0.0,0.0,30000.0,172967,172196,"2억 6,900~3억 300","2억 7,000",,,천안두정초등학교,공립,427.0,460.0
1,e편한세상두정4차,88B㎡,충청남도 천안시 서북구 두정동 401-1,충청남도 천안시 서북구 두정공원2길 50,36.83726,127.15686,456.0,0.0,23.0,14.0,239,21,553.0,"고려개발(주),대림산업(주)",HT001,88.19,62.63,71,3,2,196,계단식,60900.0,200340.0,12180.0,127260.0,0.0,0.0,0.0,33500.0,172863,172093,"2억 6,000~3억 3,000",2억,,,천안두정초등학교,공립,427.0,460.0
